St. Augustine Prep,557,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=35042,"['Milw Pulaski Co-op', 'Salam', 'Cristo Rey Jesuit', 'University Lake Sch/Trinity Academy', 'Saint Anthony', 'Early View Academy', 'SWCHA Saints', 'Milwaukee South', 'West Allis Central', 'Eastbrook Academy', 'St. Joan Antida High School Jaguars', 'Living Word Lutheran', 'Faith Christian (Wms Bay)', 'Salam', 'Cristo Rey Jesuit', 'Early View Academy', 'Saint Anthony', 'University Lake Sch/Trinity Academy', 'Eastbrook Academy', 'Saint Joan Antida', 'Faith Christian (Wms Bay)', 'Messmer']","['42-44', '32-31', '48-30', '49-31', '38-24', '58-18', '38-44', '55-48', '22-93', '50-35', '49-16', '28-64', '70-28', '52-33', '50-7', '71-4', '53-25', '30-32', '56-26', '59-6', '86-15', '56-43']","['L 42-44', 'W 32-31', 'W 48-30', 'W 49-31', 'W 38-24', 'W 58-18', 'L 38-44', 'W 55-48', 'L 22-93', 'W 50-35', 'W 49-16', 'L 28-64', 'W 70-28', 'W 52-33', 'W 50-7', 'W 71-4', 'W 53-25', 'L 30-32', 'W 56-26', 'W 59-6', 'W 86-15', 'W 56-43']","['11/29/2021', '11/30/2021', '12/02/2021', '12/07/2021', '12/09/2021', '12/14/2021', '12/16/2021', '12/20/2021', '12/21/2021', '01/06/2022', '01/11/2022', '01/13/2022', '01/14/2022', '01/20/2022', '01/25/2022', '01/27/2022', '02/01/2022', '02/03/2022', '02/08/2022', '02/10/2022', '02/15/2022', '02/16/2022']"
Coulee Christian/Providence Acad (La Crosse),77,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=35326,"['Independence', 'Whitehall', 'New Lisbon', 'Alma/Pepin', 'De Soto', 'Brookwood', 'Gilmanton']","['20-63', '19-69', '0-2', '15-28', '33-58', '27-67', '25-54']","['L 20-63', 'L 19-69', 'L 0-2', 'L 15-28', 'L 33-58', 'L 27-67', 'L 25-54']","['11/18/2021', '11/23/2021', '12/13/2021', '12/14/2021', '01/04/2022', '01/10/2022', '02/14/2022']"
La Farge/Youth Initiative,67,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=35380,"['Brookwood', 'Necedah', 'Riverdale', 'New Lisbon', 'Ithaca', 'Hillsboro', 'North Crawford', 'Fall River', 'Kickapoo', 'Weston', 'Viroqua', 'Wonewoc-Center', 'Cashton', 'De Soto', 'Wauzeka-Steuben', 'Kickapoo', 'Ithaca', 'North Crawford', 'Weston', 'Seneca', 'Wauzeka-Steuben', 'De Soto', 'Royall', 'Shullsburg', 'Wauzeka-Steuben']","['70-28', '55-18', '67-32', '62-50', '50-32', '33-48', '63-34', '57-58', '39-61', '79-36', '73-22', '52-44', '49-37', '57-33', '43-52', '34-46', '68-49', '59-44', '71-26', '65-43', '65-70', '60-36', '36-65', '54-49', '58-36']","['W 70-28', 'W 55-18', 'W 67-32', 'W 62-50', 'W 50-32', 'L 33-48', 'W 63-34', 'L 57-58', 'L 39-61', 'W 79-36', 'W 73-22', 'W 52-44', 'W 49-37', 'W 57-33', 'L 43-52', 'L 34-46', 'W 68-49', 'W 59-44', 'W 71-26', 'W 65-43', 'L 65-70', 'W 60-36', 'L 36-65', 'W 54-49', 'L 58-36']","['11/16/2021', '11/22/2021', '11/29/2021', '11/30/2021', '12/03/2021', '12/06/2021', '12/09/2021', '12/11/2021', '12/14/2021', '12/17/2021', '12/21/2021', '01/08/2022', '01/10/2022', '01/11/2022', '01/20/2022', '01/25/2022', '01/27/2022', '01/28/2022', '02/03/2022', '02/08/2022', '02/11/2022', '02/17/2022', '02/18/2022', '02/23/2022', '02/25/2022']"
Milwaukee Excellence Charter School,214,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=35406,[],[],[],[]
Wabeno/Laona,162,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=35475,"['Oconto', 'Crandon', 'Three Lakes', 'Rosholt', 'Florence', 'Goodman/Pembine', 'Menominee Indian', 'Suring', 'Wittenberg-Birnamwood', 'Athens', 'Three Lakes', 'Crandon', 'Gibraltar', 'Elcho', 'Gillett', 'Florence', 'Hurley', 'Shiocton', 'Goodman/Pembine', 'Fall Creek', 'Crivitz', 'D.C. Everest', 'Phillips', 'Oneida Nation', 'Gillett', 'Three Lakes', 'Assumption']","['37-47', '21-36', '50-36', '61-22', '62-35', '66-12', '65-47', '57-46', '51-49', '53-65', '49-41', '50-54', '67-41', '67-35', '55-42', '46-38', '54-45', '52-44', '66-8', '36-39', '47-33', '47-43', '45-63', '60-36', '35-29', '57-36', '40-26']","['L 37-47', 'L 21-36', 'W 50-36', 'W 61-22', 'W 62-35', 'W 66-12', 'W 65-47', 'W 57-46', 'W 51-49', 'L 53-65', 'W 49-41', 'L 50-54', 'W 67-41', 'W 67-35', 'W 55-42', 'W 46-38', 'W 54-45', 'W 52-44', 'W 66-8', 'L 36-39', 'W 47-33', 'W 47-43', 'L 45-63', 'W 60-36', 'W 35-29', 'W 57-36', 'L 40-26']","['11/27/2021', '11/30/2021', '12/03/2021', '12/07/2021', '12/14/2021', '12/17/2021', '12/28/2021', '12/28/2021', '01/06/2022', '01/10/2022', '01/18/2022', '01/20/2022', '01/21/2022', '01/24/2022', '01/25/2022', '01/27/2022', '01/29/2022', '02/01/2022', '02/03/2022', '02/05/2022', '02/07/2022', '02/14/2022', '02/15/2022', '02/25/2022', '02/26/2022', '03/03/2022', '03/05/2022']"
Princeton/Green Lake,230,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=35690,"['Berlin', 'Hustisford', 'Pardeeville', 'Westfield', 'Rio', 'Fall River', 'Cambria-Friesland', 'Adams-Friendship', 'Randolph', 'Markesan', 'Ripon', 'Montello', 'Oakfield', 'Central WI Christian', 'Williams Bay', 'Pardeeville', 'Rio', 'Fall River', 'Wild Rose', 'Cambria-Friesland', 'Randolph', 'Markesan', 'Wautoma', 'Montello', 'Colby']","['27-51', '44-42', '36-59', '26-61', '43-42', '36-41', '43-53', '32-34', '26-64', '23-34', '29-37', '36-33', '25-56', '33-31', '53-29', '21-58', '44-50', '27-50', '36-63', '47-63', '19-57', '18-32', '18-62', '62-33', '63-58']","['L 27-51', 'W 44-42', 'L 36-59', 'L 26-61', 'W 43-42', 'L 36-41', 'L 43-53', 'L 32-34', 'L 26-64', 'L 23-34', 'L 29-37', 'W 36-33', 'L 25-56', 'W 33-31', 'W 53-29', 'L 21-58', 'L 44-50', 'L 27-50', 'L 36-63', 'L 47-63', 'L 19-57', 'L 18-32', 'L 18-62', 'W 62-33', 'L 63-58']","['11/16/2021', '11/19/2021', '11/23/2021', '11/30/2021', '12/02/2021', '12/06/2021', '12/10/2021', '12/14/2021', '12/16/2021', '12/20/2021', '01/03/2022', '01/06/2022', '01/08/2022', '01/11/2022', '01/15/2022', '01/20/2022', '01/25/2022', '01/28/2022', '02/01/2022', '02/03/2022', '02/08/2022', '02/11/2022', '02/15/2022', '02/17/2022', '02/23/2022']"
Potosi/Cassville,172,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=35740,"['Pecatonica', 'Southwestern', 'Belmont', 'Galena, IL', 'Benton', 'Shullsburg', 'East Dubuque', 'Wauzeka-Steuben', 'Argyle', 'River Valley', 'River Ridge', 'Belmont', 'Albany', 'Highland', 'Seneca', 'Benton', 'Barneveld', 'Darlington', 'Shullsburg', 'Lancaster', 'River Ridge', 'Cuba City', 'Highland', 'Southwestern', 'Kickapoo']","['44-43', '56-30', '44-48', '28-49', '39-19', '49-38', '40-31', '36-44', '56-52', '63-28', '37-22', '44-52', '22-48', '45-67', '67-38', '72-53', '61-43', '32-34', '44-38', '45-48', '43-52', '50-60', '34-40', '63-48', '66-48']","['W 44-43', 'W 56-30', 'L 44-48', 'L 28-49', 'W 39-19', 'W 49-38', 'W 40-31', 'L 36-44', 'W 56-52', 'W 63-28', 'W 37-22', 'L 44-52', 'L 22-48', 'L 45-67', 'W 67-38', 'W 72-53', 'W 61-43', 'L 32-34', 'W 44-38 (1OT)', 'L 45-48', 'L 43-52', 'L 50-60', 'L 34-40', 'W 63-48', 'L 66-48']","['11/22/2021', '11/30/2021', '12/03/2021', '12/07/2021', '12/09/2021', '12/17/2021', '12/20/2021', '12/21/2021', '12/29/2021', '01/04/2022', '01/06/2022', '01/20/2022', '01/22/2022', '01/24/2022', '01/25/2022', '01/28/2022', '01/29/2022', '02/01/2022', '02/03/2022', '02/08/2022', '02/11/2022', '02/14/2022', '02/17/2022', '02/23/2022', '02/25/2022']"
Plum City/Elmwood,190,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=35885,"['Eleva-Strum', 'Elk Mound', 'St. Croix Central', 'Glenwood City', 'Mondovi', 'Turtle Lake', 'South Shore', 'Durand', 'Boyceville', 'Clayton', 'Alma/Pepin', 'Gilmanton', 'Elk Mound', 'Spring Valley', 'Glenwood City', 'Spring Valley', 'Mondovi', 'Eau Claire Immanuel Lutheran', 'Durand', 'Boyceville', 'Colfax', 'Colfax', 'Mondovi']","['53-41', '30-54', '32-39', '41-22', '39-38', '53-50', '51-59', '32-49', '48-30', '51-36', '47-28', '54-22', '32-55', '64-30', '68-24', '65-37', '46-50', '57-42', '39-65', '60-26', '48-60', '39-50', '40-32']","['W 53-41', 'L 30-54', 'L 32-39', 'W 41-22', 'W 39-38', 'W 53-50', 'L 51-59', 'L 32-49', 'W 48-30', 'W 51-36', 'W 47-28', 'W 54-22', 'L 32-55', 'W 64-30', 'W 68-24', 'W 65-37', 'L 46-50', 'W 57-42', 'L 39-65', 'W 60-26', 'L 48-60', 'L 39-50', 'L 40-32']","['11/19/2021', '12/02/2021', '12/04/2021', '12/14/2021', '12/17/2021', '12/27/2021', '12/28/2021', '01/06/2022', '01/11/2022', '01/14/2022', '01/15/2022', '01/17/2022', '01/20/2022', '01/25/2022', '01/28/2022', '01/31/2022', '02/03/2022', '02/05/2022', '02/08/2022', '02/11/2022', '02/14/2022', '02/17/2022', '02/23/2022']"
Abundant Life Christian/St. Ambrose,142,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=35913,"['Monticello', 'Pecatonica', 'Parkview', 'Juda', 'Palmyra-Eagle', 'Central WI Christian', 'Williams Bay', 'Montello', 'Johnson Creek', 'Madison Country Day', 'Horicon', 'Montello', 'Cambria-Friesland', 'Parkview', 'Palmyra-Eagle', 'University Lake Sch/Trinity Academy', 'Deerfield', 'Williams Bay', 'Albany', 'Johnson Creek', 'Deerfield', 'Madison Country Day', 'Eagle', 'Argyle']","['15-37', '20-69', '31-37', '42-49', '22-60', '23-43', '23-39', '22-63', '24-70', '20-22', '26-47', '27-46', '37-68', '23-39', '29-50', '31-28', '24-50', '51-58', '14-87', '36-47', '19-36', '30-37', '47-42', '76-26']","['L 15-37', 'L 20-69', 'L 31-37', 'L 42-49', 'L 22-60', 'L 23-43', 'L 23-39', 'L 22-63', 'L 24-70', 'L 20-22', 'L 26-47', 'L 27-46', 'L 37-68', 'L 23-39', 'L 29-50', 'W 31-28', 'L 24-50', 'L 51-58', 'L 14-87', 'L 36-47', 'L 19-36', 'L 30-37', 'L 47-42', 'L 76-26']","['11/16/2021', '11/18/2021', '11/23/2021', '11/29/2021', '12/02/2021', '12/07/2021', '12/10/2021', '12/14/2021', '12/16/2021', '01/06/2022', '01/11/2022', '01/15/2022', '01/18/2022', '01/20/2022', '01/25/2022', '01/28/2022', '01/31/2022', '02/03/2022', '02/05/2022', '02/08/2022', '02/11/2022', '02/12/2022', '02/15/2022', '02/23/2022']"
Milw Washington/Fuller,1068,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=35967,"['Milwaukee Academy of Science', 'Watertown', 'Milwaukee Riverside Uni.', 'Milwaukee King', 'Milwaukee School of Languages', 'Milwaukee Vincent', 'Milwaukee Riverside Uni.', 'Milwaukee Madison', 'Milwaukee King', 'Milwaukee Marshall/Young Coggs', 'Milw Hamilton/Audubon', 'Milwaukee Marshall/Young Coggs', 'Milwaukee School of Languages']","['29-84', '26-61', '27-54', '23-57', '41-71', '41-24', '38-50', '60-31', '34-57', '54-27', '57-51', '62-32', '31-74']","['L 29-84', 'L 26-61', 'L 27-54', 'L 23-57', 'L 41-71', 'W 41-24', 'L 38-50', 'W 60-31', 'L 34-57', 'W 54-27', 'W 57-51', 'W 62-32', 'L 31-74']","['11/30/2021', '12/06/2021', '12/14/2021', '12/17/2021', '01/18/2022', '01/25/2022', '01/27/2022', '01/31/2022', '02/01/2022', '02/03/2022', '02/08/2022', '02/10/2022', '02/11/2022']"
